Nom;Prénom;Autres_formes_du_Nom;Naissance;Mort;Genre;Ville;Rue;Indication;Enseigne;Note;Informations;Lien_IdRef;Ids;ISNI;Liste_Identifiants;Identifiant_BnF
Coquet;Charles;;;;M;;;;;;;;;;;
Cote (de la);Rolin;;;;M;;;;;;;;;;;
Cotinet;Arnoul;"Cotinet II, Arnoul (16..?-166.? ; imprimeur-libraire),Cottinet, Arnould (imprimeur-libraire),Cotinet, Arnould,Cottinet, Arnould";;;M;Paris;rue des Carmes;;Au petit Jésus;;"Serait le fils aîné de limprimeur-libraire parisien Arnoul I Cotinet (m. 1601), mais un autre Arnoul Cotinet imprimeur est attesté dès 1619 rue Saint-Jacques (?). Reçu maître le 22 janv. 1637. Accusé davoir produit le libelle Souspirs françois sur la paix italienne, son atelier fait lobjet dune perquisition du lieutenant civil au Châtelet le 13 avril 1649 ; sétant sauvé par une fenêtre à larrivée de la police, Arnoul II Cotinet est condamné à mort par contumace et pendu en effigie le 7 mai suivant ; la foule sen prend alors au bourreau et abat la potence. Après avoir commué la sentence de mort en une condamnation aux galères, le parlement de Paris, par un arrêt dabsolution rendu fin septembre, permet enfin à Arnoul II Cotinet de sortir de la clandestinité. Encore en activité en 1662, il nest plus attesté au procès-verbal doct. 1666,Paris : 1637-1662 ; À la place Maubert, près les Trois Faucilles (1639) ; Rue des Carmes (, proche la Mazure) (1639-1662). - À lImage Sainte Catherine (1639). - Au Petit Jésus (1648-1662)";http://www.idref.fr/060862068/id;http://isni.org/isni/0000000109126804;isni:0000000109126804;http://isni.org/isni/0000000109126804,http://data.bnf.fr/ark:/12148/cb13527051f#foaf:Person,http://viaf.org/viaf/69089754,http://viaf.org/viaf/5095159248171404870009;13527051
Coulon;Veuve dAntoine;"""Coullon, Veuve dAntoine (imprimeur-libraire)""";;;F;Paris;rue dÉcosse;;Aux trois crémaillères.;;"Devise(s) : Pax certa melior quam sperata victoria (. Typus Pacis). Pax et prudentia vincunt,Nom de jeune fille : Barbe Maillard. Se remarie le 21 sept. 1650 avec le libraire Jean Guignard. Cède son fonds à Jean Le Rat en 1652,Paris : 1649-1652? ; Rue dÉcosse (, au mont Saint-Hilaire) - Aux Trois Crémaillères";http://www.idref.fr/031112099/id;http://isni.org/isni/0000000121237136;isni:0000000121237136;http://isni.org/isni/0000000121237136,http://data.bnf.fr/ark:/12148/cb122390802#foaf:Person,http://viaf.org/viaf/22196275;12239080
Courant;(veuve);;;;F;Rouen;;A la tour carrée;;;;;http://viaf.org/viaf/12635625;viaf:12635625;;
Courant;Julien;Courant II, Julien;1625-06;1691-10-22;M;Pontoise;rue des Limandes;près de Saint-Maclou;;imprimeur;"Lieu dactivité : Pontoise. Dates dactivité : 1652. Adresse : Rue des Limandes. Adresse : Près Saint-Maclou,Lieu dactivité : Compiègne. Dates dactivité : 1652,Lieu dactivité : Rouen. Dates dactivité : 1646?-1691. Adresse : Derrière le Palais, près la Bastille. Adresse : Devant la porte du Palais, à la Tour carrée. Adresse : Sur le Quai. Adresse : Au bas des degrés du Palais. Enseigne : À lImage Saint Nicolas. Enseigne : Aux Armes de France. Enseigne : À lEncre,Variante(s) de prénom : Jullianus. - Imprimeur-libraire ; imprimeur ordinaire du Roi (1652). - Fils de limprimeur-libraire de Rouen Nicolas Courant ; baptisé le 23 juin 1625. Reçu maître à Rouen en 1646 ou peu avant. Semble avoir succédé à sa mère, veuve de Nicolas Courant, décédée en déc. 1644. Réimprime la Gazette à Rouen, peut-être dès 1646. Pendant la Fronde, entre juillet et le 15 oct. 1652 au moins, met ses presses au service du roi et de la Cour, tant à Pontoise quà Compiègne, et imprime dans des conditions difficiles de nombreuses petites publications officielles (aurait également imprimé, sous la fausse adresse de Paris, Veuve Guillemot, le libelle Le Parlement burlesque de Paris, 1652). Récompensé par des lettres patentes royales du 7 sept. 1652 qui le nomment imprimeur ordinaire du Roi. Maintenu dans ces prérogatives, pour les publications de toutes les juridictions séant à Rouen sauf le parlement de Normandie, par arrêt du Conseil du 30 déc. 1673, en dépit du procès intenté par Eustache I Viret, autre imprimeur du Roi à Rouen, qui conserve cependant lexclusivité de limpression des arrêts du parlement et du Conseil du Roi. Épouse en 2es noces, en nov. 1675, Marguerite Maurry (1650-1722), fille de limprimeur-libraire Louis I Maurry et veuve de limprimeur-libraire Jean-Baptiste Dumesnil, qui lui succédera à sa mort (en oct. 1691, dit alors âgé de 66 ans), en attendant létablissement de son jeune fils Julien III Courant (1676-1694). Inventaire après décès 22 nov. 1691";http://www.idref.fr/128183276/id;http://isni.org/isni/0000000005438555;isni:0000000005438555;http://data.bnf.fr/ark:/12148/cb15742427h#foaf:Person,http://viaf.org/viaf/44631930,http://isni.org/isni/0000000005438555;15742427
Courant;Laurent;;;;M;;;;;;;;;;;
Courbé;Augustin;;;;M;Paris;;au Palais, galerie des Merciers;A la palme;imprimeur et libraire ordinaire du duc dOrléans;"Imprimeur et libraire de Monsieur (ou : Monseigneur) le duc dOrléans, frère du Roi (1630-1643). - Entré en apprentissage en juin 1613 chez le libraire Jean I Gesselin ; reçu maître en oct. 1623. Thomas Jolly lui succède en 1663 sous la même enseigne après avoir racheté la moitié de son fonds en 1662. Figure en 1666 parmi les anciens adjoints de la communauté encore en vie. Veuve attestée entre fév. 1672 et 1676 (importante créancière lors de la faillite Jolly). Mais plusieurs publications paraissent encore sous le nom dAugustin Courbé, jusquen 1692,Devise(s) : Curvata resurgo,Paris : 1623-1662 ; (En la) Petite salle du Palais (ou : Au Palais, dans la Petite salle) ; Au Palais, en la galerie (ou : salle) des Merciers - À la Palme";http://www.idref.fr/033085137/id;http://isni.org/isni/0000000122787623;isni:0000000122787623;http://isni.org/isni/0000000122787623,http://data.bnf.fr/ark:/12148/cb12398723b#foaf:Person,http://viaf.org/viaf/41924765;12398723
Courtain;Denis;;;;M;;;;;imprimeur du roi;;;;;;
Coutance;;;;;M;;;;;;;;;;;
Cramoisy;Gabriel;;;1663;M;Paris;rue Saint-Jacques;dans la cour du collège de Clermont;aux Cicognes;;"Libraire. Fils de Pierre Cramoisy, frère (et non fils) de Sébastien I Cramoisy. Apprenti de son frère Sébastien à partir doct. 1613. Reçu libraire le 26 avril 1629. Sous-directeur de lImprimerie royale. Membre de la Compagnie des usages et la Compagnie de la Grand-Navire,Travaille en association avec son frère Sébastien I Cramoisy jusquen 1658,Paris : 1629-1663? ; Rue Saint-Jacques ; Dans la cour du collège de Clermont - Aux Cigognes";https://www.idref.fr/060556854/id;http://isni.org/isni/0000000072475890;isni:0000000072475890;http://isni.org/isni/0000000072475890,http://viaf.org/viaf/2430003,http://catalogue.bnf.fr/ark:/12148/cb13610685p;136106857
Cramoisy;Sébastien;Cramoisy I, Sébastien;1584;1669-01-29;M;Paris;rue Saint-Jacques;;Aux deux cigognes;;"Joue un rôle important durant la Fronde, participant notamment aux délibérations de lHôtel de ville. Son petit-fils Sébastien Mabre-Cramoisy est pourvu en 1660 de la survivance de ses places dimprimeur du Roi et de directeur de lImprimerie royale. Dit âgé de 83 ou 84 ans lors de son décès (janv. 1669),Pont-à-Mousson : 1621-1627,Reçoit dès 1640 la direction technique de lImprimerie royale avant den être officiellement nommé directeur en 1643. Échevin de Paris (1639-1641), grand juge-consul (1652), administrateur de léglise et hôpital Saint-Jacques (1636), un des 4 directeurs et administrateurs perpétuels du nouvel hôpital général (1656) ; contrôleur du dépôt des publications à la Bibliothèque du Roi (1656) et garde des poinçons du Roi (1660),Paris : 1606-1669 ; (En la boutique de Nivelle,) Rue Saint-Jacques - Aux (Deux) Cigognes,Imprimeur-libraire ; à Pont-à-Mousson, imprimeur du duc de Lorraine ; à Paris, imprimeur (ordinaire) du Roi (1633) (et de la Reine régente). Né en 1583 ou 1584 ; fils de Pierre Cramoisy, marchand bourgeois de Paris, et non dun premier Sébastien libraire ; petit-fils par sa mère et successeur de Sébastien Nivelle, mort en 1603. Paie la taxe douverture de boutique en 1606. Membre de la Compagnie de la Grand-Navire, quil dirige, et de la Compagnie des usages (1631),Devise(s) : Honora patrem tuum et matrem tuam ut sis longaevus super Terram. Justorum his nomina fulgent";http://www.idref.fr/031778143/id;http://isni.org/isni/0000000423421174;isni:0000000423421174;http://viaf.org/viaf/64428283,http://data.bnf.fr/ark:/12148/cb122930320#foaf:Person,http://isni.org/isni/0000000423421174;12293032
Cusset;Pierre;;;1663;M;Chalon-sur-Saône;;;;;Imprimeur. - Lieu dactivité : Chalon-sur-Saône. - Dates dactivité : 17e s.;http://www.idref.fr/128319380/id;http://isni.org/isni/0000000417515190;isni:0000000417515190;http://isni.org/isni/0000000417515190,http://viaf.org/viaf/272134223;
Dalvy;A.;;;;M;;;;;imprimeur du roi;;;;;;
Damesme;Nicolas;;;;M;Paris;;au mont Saint-Hilaire;;;;;http://isni.org/isni/0000000078045947;isni:0000000078045947;;
Daré;Robert;;1616;1656-06-21;M;Rouen;;dans la cour du Palais;;;"Rouen : 1640?-1656 ; Dans la cour du Palais,Le Petit-Quevilly (Quevilly) : 1640?-1656,Imprimeur-libraire. Fils de Thomas I Daré. Dit âgé de 40 ans lors de son décès (juin 1656)";http://www.idref.fr/03098761X/id;http://isni.org/isni/0000000007820248;isni:0000000007820248;http://data.bnf.fr/ark:/12148/cb122293842#foaf:Person,http://viaf.org/viaf/46813425,http://isni.org/isni/0000000007820248;12229384
Decourbe;Jean;"""Courbe, Jean de"",""Decourbes, Jean""";;1666;M;Paris;rue Saint-Germain-lAuxerrois;;à limage Saint-Christophe;;Lieu dactivité : Paris. Dates dactivité : 1610?-1666?. Adresse : Rue Saint-Germain-lAuxerrois. Enseigne : À lImage Saint Christophe,Libraire-relieur. - Acquitte la taxe douverture de boutique en 1610-1612 sans avoir achevé son apprentissage. Reçu relieur avant 1618 et colporteur en oct. 1633 (lettres de colporteur renouvelées en mars 1645). Publie des mazarinades en 1649-1650. A deux fils, Gilles et Rolet Decourbe, tous deux libraires-relieurs. Décédé avant le 8 avril 1666;https://www.idref.fr/241298008;http://viaf.org/viaf/162481596;viaf:162481596;http://viaf.org/viaf/162481596,http://catalogue.bnf.fr/ark:/12148/cb16260592f;162605929
Dedin;Isaac;Dedin, Jean (imprimeur-libraire),Desdin, Isaac (imprimeur-libraire),Desdin, Jean (imprimeur-libraire);;;M;Paris;rue Saint-Jean de Beauvais;;;;"Imprimeur-libraire,Autre(s) graphie(s) : Dédin. De confession calviniste. Reçu maître le 20 avril 1628. Encore en activité en juillet 1652 (témoin au procès de Bernard de Bautru, avocat au Conseil du Roi),Paris : 1628-1652? ; Rue des Noyers (, au coin de la rue Saint-Jean-de-Beauvais) ; Rue Saint-Jean-de-Beauvais - Aux Trois Pigeons - Au Petit Écu,Devise(s) : Dabit Deus his quoque finem";http://www.idref.fr/069044546/id;http://isni.org/isni/0000000009222823;isni:0000000009222823;http://isni.org/isni/0000000009222823,http://data.bnf.fr/ark:/12148/cb13526392m#foaf:Person,http://viaf.org/viaf/17381710;13526392
Desprez;Guillaume;Desprez I, Guillaume (1629?-1708);1629;1708-07-04;M;Paris;Rue Saint-Jacques;"au-dessus des Mathurins ; vis-à-vis la (petite) porte (du cloître) des Mathurins";À (lImage) Saint Prosper;;"Imprimeur-libraire ; imprimeur et libraire ordinaire du Roi (1686). - En apprentissage chez limprimeur-libraire parisien Denis de La Noue à partir de mars 1643. Reçu libraire le 30 mars 1651, il publie au moins une mazarinade en 1652 mais naurait ouvert boutique quen 1654. Rachète le fonds du libraire Charles Savreux vers 1673-1674. Ouvre un atelier dimprimerie dès 1687, mais ne sera reçu imprimeur en la communauté quen nov. 1706. Dit âgé de 72 ans lors de lenquête de nov. 1701. Décédé le 4 juillet 1708. Inventaire après décès 22 juillet et 22 oct. 1709,Paris : 1654-1709 ; Rue Saint-Jacques (au-dessus des Mathurins ; vis-à-vis la (petite) porte (du cloître) des Mathurins) ; Au pied de la tour de Notre-Dame, du côté de larchevêché - À (lImage) Saint Prosper - Aux Trois vertus - À Saint Prosper et aux Trois vertus";http://www.idref.fr/030987938/id;http://isni.org/isni/0000000108720465;isni:0000000108720465;http://isni.org/isni/0000000108720465,http://data.bnf.fr/ark:/12148/cb12229415h#foaf:Person,http://viaf.org/viaf/14823298;12229415
Du Bosc;Veuve de Jean;Dubosc, Veuve de Jean (libraire);;;M;Rouen;dans la cour du Palais;;;;Libraire,Rouen, 1630-1648. Adresse : dans la cour du Palais,Epouse Jean I Du Bosc le 25 juillet 1605. Lui succède en 1630;http://www.idref.fr/07430870X/id;http://isni.org/isni/0000000357640378;isni:0000000357640378;http://isni.org/isni/0000000357640378,http://viaf.org/viaf/200961016,http://data.bnf.fr/ark:/12148/cb16772719g#foaf:Person;
Du Bray;Jean;Dubray, Jean;1611-07-17;1674-04-28;M;Paris;rue Saint-Jacques;;;;"Devise(s) : Cultu fertilior,Libraire. - Reçu maître en janv. 1636. En 1642, succède à sa mère, veuve de Toussaint Du Bray. Gendre de Sébastien Chappelet,Paris : 1636-1674 ; Rue Saint-Jacques - Aux Épis mûrs (et au Chapelet ; et au Rosier)";http://www.idref.fr/031002080/id;http://isni.org/isni/0000000110444201;isni:0000000110444201;http://data.bnf.fr/ark:/12148/cb122304831#foaf:Person,http://isni.org/isni/0000000110444201,http://viaf.org/viaf/22194489;12230483
Du Coq;Pierre;;1623-09-22;1680-09-30;M;Bordeaux;rue Saint-James;;;;Lieu dactivité : Bordeaux. Dates dactivité : 1642-1680. Adresse : Rue Saint-James. Enseigne : À lenseigne du Coq,Imprimeur-libraire. - Fils de limprimeur-libraire de Bordeaux Jacques Du Coq. Décédé à Bordeaux le 30 sept. 1680. Sa veuve lui succède entre 1681 et 1683 puis se remarie avec Pierre III Abegou, qui reprend limprimerie;http://www.idref.fr/18245732X/id;http://isni.org/isni/0000000077554416;isni:0000000077554416;http://data.bnf.fr/ark:/12148/cb161897378#foaf:Person,http://isni.org/isni/0000000077554416,http://viaf.org/viaf/107625964;16189737
Du Crocq;Jean;;;;M;Paris;rue dÉcosse;près le Puits-Certain;;;"Paris : 1649?-1652? ; Au Mont Saint-Hilaire, près le Puits Certain ; Rue dÉcosse, près le Puits Certain";http://www.idref.fr/032058829/id;http://isni.org/isni/0000000364655957;isni:0000000364655957;http://data.bnf.fr/ark:/12148/cb12316135j#foaf:Person,http://isni.org/isni/0000000364655957,http://viaf.org/viaf/227058414;12316135
Du Petit Val;David;Parvivallius, David;;1658-09-08;M;Rouen;rue aux Juifs;devant la grand-porte du Palais et au haut des degrés du Palais;;imprimeur du roi;"Rouen : 1610-1658 ; Près le Palais ; (Rue aux Juifs,) Devant la grand-porte (du Palais ; et au haut des degrés du Palais),A travaillé en association avec ses deux beaux-frères Jacques I Besongne et Jean I Berthelin, puis avec Jean III Viret, autre imprimeur du Roi à partir de 1637,Imprimeur-libraire ; imprimeur et libraire ordinaire du Roi. Fils de Raphae͏̈l Du Petit Val, dont il obtient la survivance comme imprimeur ordinaire du Roi par lettres de provision dès le 25 juin 1609. Reçu maître en 1610. Jusquen 1626, publie aussi parfois sous le nom de son père. Poète, chaque année primé au concours des Palinods de Rouen de 1624 à 1633,Devise(s) : Deo duce";http://www.idref.fr/032491999/id;http://isni.org/isni/0000000362042460;isni:0000000362042460;http://isni.org/isni/0000000362042460,http://data.bnf.fr/ark:/12148/cb12351152r#foaf:Person,http://viaf.org/viaf/224416215;12351152
Du Pont;Pierre;Dupont, Pierre;;1666;M;Paris;rue dÉcosse;au mont Saint-Hilaire;;;"Imprimeur-libraire. Veuve attestée en oct. 1666,Paris : 1648-1666? ; Au Mont Saint-Hilaire, rue dÉcosse ; Rue des Sept-Voies, devant Saint-Hilaire ; Rue dÉcosse, proche Saint-Hilaire";http://www.idref.fr/030988225/id;http://isni.org/isni/0000000001796013;isni:0000000001796013;http://data.bnf.fr/ark:/12148/cb12229440q#foaf:Person,http://isni.org/isni/0000000001796013,http://viaf.org/viaf/29586472;12229440
Dubois;Gilles;;;;M;Paris;;au collège Royal, devant Saint-Jean de Latran;;libraire et relieur ordinaire du roi;;;http://viaf.org/viaf/61848685;viaf:61848685;;
Dufresne;Gilles;;;;M;Paris;;au mont Sainte-Geneviève;;;;;http://viaf.org/viaf/107059606;viaf:107059606;;
Dumont;Philippe;;;;M;;;;;;;;;;;
Duprat;Jean;;;;M;;;;;Il avait probablement succédé à la veuve Antoine Coulon);;;;;;
Durand;Claude;;;;M;;;;;;;;;;;
Défunt mon grand-père;;;;;M;;;;;;;;;;;
Espernon (le duc d);;;;;M;;;;;;;;;;;
Estienne;Antoine;Etienne, Antoine,Estiene, Antoine,Stephanus, Antonius;1592-06;1674;M;Paris;rue Saint-Jacques;au Collège Royal, devant Saint-Benoît;;premier imprimeur et libraire ordinaire du roi;"Est vite confronté à de graves difficultés financières, fait faillite en 1630 et séjourne plusieurs fois en prison pour dettes entre 1633 et 1636. Est nommé imprimeur-libraire du Roi à La Rochelle en fév. 1630. En juin 1635 Antoine Vitré lui succède comme imprimeur du Clergé mais Antoine Estienne conserve sa pension. En août 1662 vend sa charge dimprimeur du Roi à Sébastien Huré. Aurait cessé dimprimer en 1664. Également auteur et poète. Serait mort à lHôtel-Dieu aveugle, infirme et ruiné. Veuve attestée en exercice en 1675,Autre(s) graphie(s) : Estiene. Imprimeur-libraire ; imprimeur du clergé de France (1612-1635) ; premier imprimeur et libraire ordinaire du Roi (1613-1662). Fils du libraire genevois Paul Estienne qui se réfugie en France vers 1612. À Paris en 1612 il abjure la religion réformée entre les mains du cardinal Du Perron qui devient son protecteur. Obtient ses lettres de naturalité en sept. 1612 ; est nommé la même année huissier et imprimeur de lAssemblée du clergé, et en déc. 1613 imprimeur ordinaire du Roi. Ne sera reçu maître quen oct. 1618 après des démêlés avec la communauté des libraires,Paris : 1613-1674? ; Rue des Carmes, au collège (des Lombards ; des Italiens) ; Rue Saint-Jacques (au collège de Clermont ; devant le collège du Plessis ; près (ou : devant) Saint-Yves ; au Collège royal, devant Saint-Benoît ; au nouveau collège de France) - À lImage Saint Martin - À lOlivier - À lenseigne de lAmandier,Devise(s) : Noli altum sapere sed time";http://www.idref.fr/032075944/id;http://isni.org/isni/0000000121209450;isni:0000000121209450;http://isni.org/isni/0000000121209450,http://data.bnf.fr/ark:/12148/cb12317537k#foaf:Person,http://viaf.org/viaf/12376969;12317537
Fesmaderes;Jean;;;;M;;;;;imprimeur du roi;;;;;;
Feugé;Robert;Feugé II, Robert;1628-02-20;;M;Paris;;proche le Puits-Certain;A limage Saint-Sébastien;;Paris, 13 septembre 1644-1671?. A limage Saint-Sébastien, près le Puits Certain,Imprimeur-libraire. Fils de Robert I Feugé (15..-1642). Gendre de Robert Mansion;http://www.idref.fr/069012245/id;http://isni.org/isni/000000043524489X;isni:000000043524489X;http://data.bnf.fr/ark:/12148/cb15915877m#foaf:Person,http://viaf.org/viaf/228063889,http://isni.org/isni/000000043524489X;
Framery;Louis;Framery II, Louis;;;M;Paris;;;;;Fils de Louis Ier. Relieur et libraire à Paris, reçu le 19 octobre 1651.;https://www.idref.fr/196721679/id;http://viaf.org/viaf/164874198;viaf:164874198;http://viaf.org/viaf/164874198;
Frinbaux;Jean;;;;M;;;;;;;;;;;
Frémont;Gabriel;;;;M;;;;;libraire et imprimeur;;;;;;
Garcin;Claude;;;1691-03-07;M;Marseille;;;au nom de Jésus;imprimeur du roi;"Imprimeur-libraire ; imprimeur ordinaire de la ville de Marseille (1642-1666) ; imprimeur ordinaire du Roi ; imprimeur du clergé ; imprimeur du collège. Nommé imprimeur de la ville le 8 juillet 1642 avec une pension de 100 l. par an. Se qualifie en 1684, au moins, dancien imprimeur du Roi, du clergé et de la ville. Son gendre et ancien compagnon Henri Martel lui succède,Lieu dactivité : Marseille. Dates dactivité : 1641-1691. Adresse : Au (ou : À lenseigne du) Nom de Jésus";http://www.idref.fr/034874747/id;http://isni.org/isni/0000000360348132;isni:0000000360348132;http://data.bnf.fr/ark:/12148/cb125581298#foaf:Person,http://isni.org/isni/0000000360348132,http://viaf.org/viaf/222448340;12558129
Gasse;Nicolas;;;;M;Paris;;au mont Saint-Hilaire, dans la cour dAlbret;;;;;http://isni.org/isni/0000000495787829;isni:0000000495787829;;
Gautier;Filbert;Gauthier, Filbert;;;M;Paris;rue Sarrasin;;Aux trois étoiles;;Imprimeur,Paris, 17e s. Ruë Sarrazin aux Trois estoilles.;http://www.idref.fr/242734944/id;http://viaf.org/viaf/107626774;viaf:107626774;http://viaf.org/viaf/107626774,http://data.bnf.fr/ark:/12148/cb161899296#foaf:Person;
Gautier;Pierre;;;;M;;;;;;;;http://viaf.org/viaf/107069912;viaf:107069912;;
Geoffroy;Pierre;Geuffroy, Pierre;1602;1669;M;Rouen;rue de la Prison;près de lÉcu dOrléans dans la cour des Deux-Anges;;;Imprimeur-libraire. Fils de David I Geoffroy. Reçu maître en 1631 ou peu avant. De confession protestante. Dit âgé de 67 ans lors de son décès (oct. 1669). - Associé à son frère David II Geoffroy jusquà la mort de celui-ci (1665),Rouen : 1631?-1669. - Rue du Petit-Mont-Lévrier. - Rue de la Prison, près lÉcu dOrléans, dans la cour (ou : proche lhôtel) des Deux Anges;http://www.idref.fr/177389885/id;http://isni.org/isni/0000000362541374;isni:0000000362541374;http://data.bnf.fr/ark:/12148/cb12230557r#foaf:Person,http://viaf.org/viaf/225080257,http://isni.org/isni/0000000362541374;
Girard;Jacques;Girard, Jacque;;;M;Paris;rue de la Vieille-Monnaire; Aux trois maillets;;;Imprimeur,Paris, 17e s. ruë de la vielle Monnois sic, aux Trois maillet sic;http://www.idref.fr/241807816/id;http://viaf.org/viaf/150158125062714931183;viaf:150158125062714931183;http://viaf.org/viaf/150158125062714931183;
Grandin;Pierre;;;;M;Paris;rue de la Calandre;;;;;;http://isni.org/isni/0000000077000210;isni:0000000077000210;;
Gueffier;François;;;;M;Paris;;;;;Imprimeur-libraire, fils de François Gueffier (mort en 1623) et frère de Claude (mort en 1630) avec qui il fut reçu libraire à Paris le 17 janvier 1628.;http://www.idref.fr/203103254/id;http://viaf.org/viaf/55150565624606251190;viaf:55150565624606251190;http://viaf.org/viaf/55150565624606251190;
Guignard;Jean;Guignard II, Jean;1632;1719-04-09;M;Paris;rue Saint-Jacques;À lentrée de la grand-salle du Palais, du côté de la cour des Aides;;;"Paris : 1652-1719 ; En la (ou : À lentrée de la) grand-salle (du Palais) (, du côté de la cour des Aides) ; Rue Saint-Jacques, vis-à-vis (ou : devant) la rue du Plâtre - À lImage Saint Jean,À partir de 1686, associé à son fils Michel,Variante : Jean Guignard le jeune. Libraire ; libraire de Son Altesse Sérénissime le duc dOrléans. Fils aîné de Jean I Guignard. Âgé de 69 ans lors de lenquête de nov. 1701 et de 87 ans et demi lors de son décès (avril 1719)";http://www.idref.fr/031113303/id;http://isni.org/isni/0000000081722486;isni:0000000081722486;http://isni.org/isni/0000000081722486,http://data.bnf.fr/ark:/12148/cb12239180b#foaf:Person,http://viaf.org/viaf/107030476;12239180
Guillemot;Veuve de Jean;Guillemot I, Veuve de Jean (16..-16..);;;F;Paris;rue des Marmousets;devant la petite porte de Sainte-Madeleine;;imprimeuse (sic) du duc dOrléans, le 2 décembre 1651.;"Imprimeuse ordinaire de Son Altesse Royale le duc dOrléans (1651). Nom de jeune fille : probablement Louise Pinchard, 2e épouse de Jean I Guillemot (avant juin 1634). Nommée imprimeuse ordinaire du duc dOrléans par brevet du 2 déc. 1651. Encore en activité en 1656. Nest plus attestée lors de lenquête de juillet 1657,Paris : 1649-1656 ; Rue des Marmousets, proche (ou : devant la petite porte de) (léglise de) la Madeleine (ou : Sainte-Marie-Madeleine) (, ou bien en sa boutique au Palais, en la petite allée devant Saint-Barthélemy, sur la montée de la grand-salle) - À (lenseigne de) la Camisole royale";http://www.idref.fr/035225521/id;http://isni.org/isni/0000000359773502;isni:0000000359773502;http://data.bnf.fr/ark:/12148/cb13175232k#foaf:Person,http://viaf.org/viaf/221460858,http://isni.org/isni/0000000359773502;13175232
Guillery;Jacques;;;1649;M;Paris;rue des Sept-Voies;devant le collège de Fortet, proche de Montaigu;;;Imprimeur-libraire,Paris, 1644-1649. Rue des Sept Voyes, devant le collège de Fortet, proche ontaigu;http://www.idref.fr/069094640/id;http://isni.org/isni/0000000060006122;isni:0000000060006122;http://isni.org/isni/0000000060006122,http://viaf.org/viaf/88106216,http://data.bnf.fr/ark:/12148/cb160276582#foaf:Person;
Guychard;Jean;;;;M;;;;;;;;;;;
Guyot;Guy-Anne;;;;M;Dijon;;;;imprimeur du roi, du prince de Condé et de la ville;;;http://viaf.org/viaf/232945901;viaf:232945901;;
Guérard;Jean;;;;M;Paris;;au mont Saint-Hilaire;;;;;http://isni.org/isni/0000000357267649;isni:0000000357267649;;
Guérard;Nicolas;;;;M;;;;;;;;;;;
Hablon;Hubert;;;;M;;;;;;;;;;;
Halles (des);Thibaut;;;;M;;;;;;;;;;;
Halline (de);Gilles;;;;M;Paris;;à la montagne Sainte-Geneviève;;;;;http://isni.org/isni/000000007790886X;isni:000000007790886X;;
Hameau;Hyérôme;;;;M;Paris;rue Sainte-Jean-de-Latran;proche le collège des Trois-Évêques;;;;;http://viaf.org/viaf/7148449524815690520;viaf:7148449524815690520;;
Haran;François;;;;M;Rennes;;;;imprimeur ordinaire du roi;;;http://isni.org/isni/0000000007821099;isni:0000000007821099;;
Hardouin;Louis;;;;M;Paris;rue saint-Victor;;;;"Paris : 1652 ; Rue Saint-Victor";http://www.idref.fr/030990076/id;http://isni.org/isni/0000000001761072;isni:0000000001761072;http://data.bnf.fr/ark:/12148/cb12229577b#foaf:Person,http://isni.org/isni/0000000001761072,http://viaf.org/viaf/27118597;12229577
Hardy;Guillaume;;;;M;;;;;;;;;;;
Herault;Jacques;Herault II, Jacques (1618?-1690);1618;1690-09;M;Rouen;;dans la cour du Palais;;;"Rouen,Vraisemblablement fils du libraire de Rouen Jacques I Herault. Établi vers 1641. Sépulture le 9 sept. 1690 à Rouen ; dit alors âgé de 72 ans environ. Sa veuve lui succède. Père du libraire Eustache Herault";http://www.idref.fr/243234740/id;http://viaf.org/viaf/172352716;viaf:172352716;http://viaf.org/viaf/172352716,http://data.bnf.fr/ark:/12148/cb16524738v#foaf:Person;16524738
Hernault;Antoine;Hernault III, Antoine;1614-03-26;1656;M;Saumur;;;au nom de Jésus;imprimeur du roi;"Lieu dactivité : Saumur. Dates dactivité : 1646-1656. Enseigne : Au Nom de Jésus,Imprimeur-libraire ; imprimeur ordinaire du Roi. Fils de René Hernault, de Saumur ; frère puîné et successeur dAndré Hernault. À distinguer dAntoine II Hernault, imprimeur-libraire à Angers";http://www.idref.fr/113981716/id;http://isni.org/isni/0000000363386820;isni:0000000363386820;http://viaf.org/viaf/227714018,http://data.bnf.fr/ark:/12148/cb12239199r#foaf:Person,http://isni.org/isni/0000000363386820;12239199
Heulin;Pierre;;;;M;Paris;;au mont Saint-Hilaire;;;;;http://isni.org/isni/000000007944814X;isni:000000007944814X;;
Hollant;Jacques;;;;M;Rouen;;;;;;;http://viaf.org/viaf/264814797;viaf:264814797;;
Hotot;Gilles;;;1672;M;Orléans;Rue de lEscrivinerie;proche Sainte-Croix;;imprimeur du roi;"Lieu dactivité : Orléans. Dates dactivité : 1642-1672. Adresse : Rue de lEscrivinerie. Adresse : Proche Sainte-Croix,Imprimeur-libraire ; imprimeur du Roi (1649) et de monseigneur le duc dOrléans. Fils de Gilles I Hotot. Exerce sans doute dès 1642 en association avec sa mère, veuve de Gilles I Hotot";http://www.idref.fr/093612176/id;http://isni.org/isni/0000000364426759;isni:0000000364426759;http://data.bnf.fr/ark:/12148/cb144551823#foaf:Person,http://isni.org/isni/0000000364426759,http://viaf.org/viaf/225752881;14455182
