Nom,Prénom,Lieu,Note,Enseigne,Informations,ISNI,Ids,Type,Ville,Rue,Indication,Enseigne_2,Coordonnées
La Coste,Nicolas de,,,,"[""Paris : 1628-1666 ; (Au Mont Saint-Hilaire et) À la petite porte du Palais (, qui regarde (ou : devant) le quai des (ou : les) Augustins (ou : rue de Monsieur le Premier Président)) ; Rue des Sept-Voies. - À l'Écu de Bretagne (ou : Aux Trois Hermines)"", 'Travaille en association avec son frère Jean de La Coste entre 1630 et 1663 environ', 'Devise(s) : ""Nos connectit amor"" ; ""Ditat concordia fratres""', ""Imprimeur-libraire. - Entré en apprentissage en janv. 1606. Libraire (12 oct. 1628) reçu imprimeur en 1630. En activité jusqu'en 1666 ; veuve attestée à cette date. Auteur de traductions de l'espagnol""]",isni:0000000123748060,http://isni.org/isni/0000000123748060,Imprimeur,Paris,rue des Sept-Voies,,à l'écu de Bretagne,
Cote (de la),Rolin,,,,,,,Imprimeur,,,,,
Cotinet,Arnoul,rue des Carmes,,Au petit Jésus.,,isni:0000000109126804,http://isni.org/isni/0000000109126804,Imprimeur,Paris,rue des Carmes,,Au petit Jésus,
Coulon,Veuve d'Antoine,rue d'Écosse,,Aux trois crémaillères.,"['Devise(s) : Pax certa melior quam sperata victoria (. Typus Pacis). Pax et prudentia vincunt', 'Nom de jeune fille : Barbe Maillard. Se remarie le 21 sept. 1650 avec le libraire Jean Guignard. Cède son fonds à Jean Le Rat en 1652', ""Paris : 1649-1652? ; Rue d'Écosse (, au mont Saint-Hilaire) - Aux Trois Crémaillères""]",isni:0000000121237136,http://isni.org/isni/0000000121237136,Imprimeur,Paris,rue d'Écosse,,Aux trois crémaillères.,
Courant,Julien,"près de Saint-Maclou, à Pontoise.",imprimeur,,"[""Lieu d'activité : Pontoise. Dates d'activité : 1652. Adresse : Rue des Limandes. Adresse : Près Saint-Maclou"", ""Lieu d'activité : Compiègne. Dates d'activité : 1652"", ""Lieu d'activité : Rouen. Dates d'activité : 1646?-1691. Adresse : Derrière le Palais, près la Bastille. Adresse : Devant la porte du Palais, à la Tour carrée. Adresse : Sur le Quai. Adresse : Au bas des degrés du Palais. Enseigne : À l'Image Saint Nicolas. Enseigne : Aux Armes de France. Enseigne : À l'Encre"",'Variante(s) de prénom : Jullianus. - Imprimeur-libraire ; imprimeur ordinaire du Roi (1652). - Fils de l'imprimeur-libraire de Rouen Nicolas Courant ; baptisé le 23 juin 1625. Reçu maître à Rouen en 1646 ou peu avant. Semble avoir succédé à sa mère, veuve de Nicolas Courant, décédée en déc. 1644. Réimprime la ""Gazette"" à Rouen, peut-être dès 1646. Pendant la Fronde, entre juillet et le 15 oct. 1652 au moins, met ses presses au service du roi et de la Cour, tant à Pontoise qu'à Compiègne, et imprime dans des conditions difficiles de nombreuses petites publications officielles (aurait également imprimé, sous la fausse adresse de ""Paris, Veuve Guillemot"", le libelle ""Le Parlement burlesque de Paris"", 1652). Récompensé par des lettres patentes royales du 7 sept. 1652 qui le nomment imprimeur ordinaire du Roi. Maintenu dans ces prérogatives, pour les publications de toutes les juridictions séant à Rouen sauf le parlement de Normandie, par arrêt du Conseil du 30 déc. 1673, en dépit du procès intenté par Eustache I Viret, autre imprimeur du Roi à Rouen, qui conserve cependant l'exclusivité de l'impression des arrêts du parlement et du Conseil du Roi. Épouse en 2es noces, en nov. 1675, Marguerite Maurry (1650-1722), fille de l'imprimeur-libraire Louis I Maurry et veuve de l'imprimeur-libraire Jean-Baptiste Dumesnil, qui lui succédera à sa mort (en oct. 1691, dit alors âgé de 66 ans), en attendant l'établissement de son jeune fils Julien III Courant (1676-1694). Inventaire après décès 22 nov. 1691']",isni:0000000005438555,http://isni.org/isni/0000000005438555,Imprimeur,Pontoise,rue des Limandes,près de Saint-Maclou,,
Courant,Laurent,à Pontoise,,,,,,Imprimeur,Pontoise,,,,
Courant,(veuve),"derrière le Palais, proche la Bastille, à Rouen.",,A la tour carrée,,viaf:12635625,http://viaf.org/viaf/12635625,Imprimeur,Rouen,,A la tour carrée,,
Courbe (de),Jean,rue Saint-Germain l’Auxerrois,,A l’image Saint-Christophe.,,,,Imprimeur,Paris,rue Saint-Germain l’Auxerrois,A l’image Saint-Christophe.,,
Courbé,Augustin,"au Palais, galerie des Merciers",imprimeur et libraire ordinaire du duc d’Orléans,A la palme,"[""Imprimeur et libraire de Monsieur (ou : Monseigneur) [le duc d'Orléans], frère du Roi (1630-1643). - Entré en apprentissage en juin 1613 chez le libraire Jean I Gesselin ; reçu maître en oct. 1623. Thomas Jolly lui succède en 1663 sous la même enseigne après avoir racheté la moitié de son fonds en 1662. Figure en 1666 parmi les anciens adjoints de la communauté encore en vie. Veuve attestée entre fév. 1672 et 1676 (importante créancière lors de la faillite Jolly). Mais plusieurs publications paraissent encore sous le nom d'Augustin Courbé, jusqu'en 1692"", 'Devise(s) : Curvata resurgo', 'Paris : 1623-1662 ; (En la) Petite salle du Palais (ou : Au Palais, dans la Petite salle) ; Au Palais, en la galerie (ou : salle) des Merciers - À la Palme']",isni:0000000122787623,http://isni.org/isni/0000000122787623,Imprimeur,Paris,,"au Palais, galerie des Merciers",A la palme,
La Court,Guillaume de,à Bordeaux,imprimeur ordinaire du roi et de S. A,,"['Béziers : 1680',""Bordeaux : 1637?-1683 ; Rue Saint-James - À la Bible d'or"", 'Imprimeur-libraire ; imprimeur (ordinaire) du Roi (1641 ou 1642?) ; imprimeur de monseigneur l'archevêque (de Bordeaux et primat d'Aquitaine) ; de l'université (de Bordeaux) ; de Son Altesse [le prince de Condé] (1652). Fils (et successeur vers 1640) de Pierre I de La Court. Réimprime la ""Gazette"" à Bordeaux de 1648 à 1683. On lui attribue à tort la paternité du ""Recit veritable de tout ce qui s'est fait au procez du Roy de la Grand' Bretagne..."" qu'il réimprime en 1649 sur une copie de Londres. Son fils aîné Nicolas de La Court lui succède en qualité d'imprimeur du Roi le 15 nov. 1683', 'Devise(s) : Vacua non regnat in aula. Alpha et omega. Principium et finis']",isni:0000000121290076,http://isni.org/isni/0000000121290076,Imprimeur,Bordeaux,Rue Saint-James,,À la bible d'or,
Courtain,Denis,à Pontoise,imprimeur dur roi,,,,,Imprimeur,Pontoise,,,,
Coutance,,,,,,,,Imprimeur,,,,,
Cramoisy,Sébastien,,,,"[""Joue un rôle important durant la Fronde, participant notamment aux délibérations de l'Hôtel de ville. Son petit-fils Sébastien Mabre-Cramoisy est pourvu en 1660 de la survivance de ses places d'imprimeur du Roi et de directeur de l'Imprimerie royale. Dit âgé de 83 ou 84 ans lors de son décès (janv. 1669)"", 'Pont-à-Mousson : 1621-1627', ""Reçoit dès 1640 la direction technique de l'Imprimerie royale avant d'en être officiellement nommé directeur en 1643. Échevin de Paris (1639-1641), grand juge-consul (1652), administrateur de l'église et hôpital Saint-Jacques (1636), un des 4 directeurs et administrateurs perpétuels du nouvel hôpital général (1656) ; contrôleur du dépôt des publications à la Bibliothèque du Roi (1656) et garde des poinçons du Roi (1660)"", 'Paris : 1606-1669 ; (En la boutique de Nivelle,) Rue Saint-Jacques - Aux (Deux) Cigognes', ""Imprimeur-libraire ; à Pont-à-Mousson, imprimeur du duc de Lorraine ; à Paris, imprimeur (ordinaire) du Roi (1633) (et de la Reine régente). Né en 1583 ou 1584 ; fils de Pierre Cramoisy, marchand bourgeois de Paris, et non d'un premier Sébastien libraire ; petit-fils par sa mère et successeur de Sébastien Nivelle, mort en 1603. Paie la taxe d'ouverture de boutique en 1606. Membre de la Compagnie de la Grand-Navire, qu'il dirige, et de la Compagnie des usages (1631)"", 'Devise(s) : Honora patrem tuum et matrem tuam ut sis longaevus super Terram. Justorum his nomina fulgent']",isni:0000000423421174,http://isni.org/isni/0000000423421174,Imprimeur,Paris,rue Saint-Jacques,,Aux deux cigognes,
Du Crocq,Jean,"rue des Cosses (sic), près le Puits-Certain.",,,"[""Paris : 1649?-1652? ; Au Mont Saint-Hilaire, près le Puits Certain ; Rue d'Écosse, près le Puits Certain""]",isni:0000000364655957,http://isni.org/isni/0000000364655957,Imprimeur,Paris,rue d'Écosse,près le Puits-Certain,,
Cusset,Pierre,à Châlons-sur-Saône.,,,"[""Imprimeur. - Lieu d'activité : Chalon-sur-Saône. - Dates d'activité : 17e s.""]",isni:0000000417515190,http://isni.org/isni/0000000417515190,Imprimeur,Châlons-sur-Saône,,,,
Dalvy,A.,Bourg,imprimeur du roi,,,,,Imprimeur,Bourg,,,,
Damesme,Nicolas,au mont Saint-Hilaire,,,,isni:0000000078045947,http://isni.org/isni/0000000078045947,Imprimeur,Paris,,au mont Saint-Hilaire,,
Daré,Robert,"dans la cour du Palais, à Rouen.",,,"['Rouen : 1640?-1656 ; Dans la cour du Palais', 'Le Petit-Quevilly (Quevilly) : 1640?-1656', 'Imprimeur-libraire. Fils de Thomas I Daré. Dit âgé de 40 ans lors de son décès (juin 1656)']",isni:0000000007820248,http://isni.org/isni/0000000007820248,Imprimeur,Rouen,,dans la cour du Palais,,
Dedin,Isaac,rue Saint-Jean de Beauvais.,,,"['Imprimeur-libraire', 'Autre(s) graphie(s) : Dédin. De confession calviniste. Reçu maître le 20 avril 1628. Encore en activité en juillet 1652 (témoin au procès de Bernard de Bautru, avocat au Conseil du Roi)', 'Paris : 1628-1652? ; Rue des Noyers (, au coin de la rue Saint-Jean-de-Beauvais) ; Rue Saint-Jean-de-Beauvais - Aux Trois Pigeons - Au Petit Écu', 'Devise(s) : Dabit Deus his quoque finem']",isni:0000000009222823,http://isni.org/isni/0000000009222823,Imprimeur,Paris,rue Saint-Jean de Beauvais,,,
Défunt mon grand-père,,,,à l’enseigne du Carême prenant.,,,,Imprimeur,,,,à l’enseigne du Carême prenant.,
Desprez,Guillaume,,,,"[""Imprimeur-libraire ; imprimeur et libraire ordinaire du Roi (1686). - En apprentissage chez l'imprimeur-libraire parisien Denis de La Noue à partir de mars 1643. Reçu libraire le 30 mars 1651, il publie au moins une mazarinade en 1652 mais n'aurait ouvert boutique qu'en 1654. Rachète le fonds du libraire Charles Savreux vers 1673-1674. Ouvre un atelier d'imprimerie dès 1687, mais ne sera reçu imprimeur en la communauté qu'en nov. 1706. Dit âgé de 72 ans lors de l'enquête de nov. 1701. Décédé le 4 juillet 1708. Inventaire après décès 22 juillet et 22 oct. 1709"",""Paris : 1654-1709 ; Rue Saint-Jacques (au-dessus des Mathurins ; vis-à-vis la (petite) porte (du cloître) des Mathurins) ; Au pied de la tour de Notre-Dame, du côté de l'archevêché - À (l'Image) Saint Prosper - Aux Trois vertus - À Saint Prosper et aux Trois vertus""]",isni:0000000108720465,http://isni.org/isni/0000000108720465,Imprimeur,Paris,Rue Saint-Jacques,au-dessus des Mathurins ; vis-à-vis la (petite) porte (du cloître) des Mathurins,À (l'Image) Saint Prosper,
Dubois,Gilles,"au collège Royal, devant Saint-Jean de Latran.",libraire et relieur ordinaire du roi,,,viaf:61848685,http://viaf.org/viaf/61848685,Imprimeur,Paris,,"au collège Royal, devant Saint-Jean de Latran",,
Dufresne,Gilles,au mont Sainte-Geneviève.,,,,viaf:107059606,http://viaf.org/viaf/107059606,Imprimeur,Paris,,au mont Sainte-Geneviève,,
Dumont,Philippe,,,,,,,Imprimeur,,,,,
Du Pont,Pierre,"au mont Saint-Hilaire, rue d’Écosse.",,,"['Imprimeur-libraire. Veuve attestée en oct. 1666', ""Paris : 1648-1666? ; Au Mont Saint-Hilaire, rue d'Écosse ; Rue des Sept-Voies, devant Saint-Hilaire ; Rue d'Écosse, proche Saint-Hilaire""]",isni:0000000001796013,http://isni.org/isni/0000000001796013,Imprimeur,Paris,rue d'Écosse,au mont Saint-Hilaire,,
Duprat,Jean,rue d'Écosse,Il avait probablement succédé à la veuve Antoine Coulon),Aux trois crémaillères ,,,,Imprimeur,Paris,rue d'Écosse,,Aux trois crémaillères ,
Durand,Claude,"sur le quay des Peres Augustins, au Pol-Artique",,,,,,Imprimeur,Paris,sur le quai des Peres Augustins,,au Pol-Artique,
Espernon (le duc d’),,à Cadillac,,,,,,Imprimeur,Cadillac,,,,
Estienne,Antoine,"rue Saint-Jacques, au collège Royal, devant Saint-Benoît.",premier imprimeur et libraire ordinaire du roi,,"[""Est vite confronté à de graves difficultés financières, fait faillite en 1630 et séjourne plusieurs fois en prison pour dettes entre 1633 et 1636. Est nommé imprimeur-libraire du Roi à La Rochelle en fév. 1630. En juin 1635 Antoine Vitré lui succède comme imprimeur du Clergé mais Antoine Estienne conserve sa pension. En août 1662 vend sa charge d'imprimeur du Roi à Sébastien Huré. Aurait cessé d'imprimer en 1664. Également auteur et poète. Serait mort à l'Hôtel-Dieu aveugle, infirme et ruiné. Veuve attestée en exercice en 1675"", ""Autre(s) graphie(s) : Estiene. Imprimeur-libraire ; imprimeur du clergé de France (1612-1635) ; premier imprimeur et libraire ordinaire du Roi (1613-1662). Fils du libraire genevois Paul Estienne qui se réfugie en France vers 1612. À Paris en 1612 il abjure la religion réformée entre les mains du cardinal Du Perron qui devient son protecteur. Obtient ses lettres de naturalité en sept. 1612 ; est nommé la même année huissier et imprimeur de l'Assemblée du clergé, et en déc. 1613 imprimeur ordinaire du Roi. Ne sera reçu maître qu'en oct. 1618 après des démêlés avec la communauté des libraires"", ""Paris : 1613-1674? ; Rue des Carmes, au collège (des Lombards ; des Italiens) ; Rue Saint-Jacques (au collège de Clermont ; devant le collège du Plessis ; près (ou : devant) Saint-Yves ; au Collège royal, devant Saint-Benoît ; au nouveau collège de France) - À l'Image Saint Martin - À l'Olivier - À l'enseigne de l'Amandier"", 'Devise(s) : Noli altum sapere sed time']",isni:0000000121209450,http://isni.org/isni/0000000121209450,Imprimeur,Paris,rue Saint-Jacques,"au Collège Royal, devant Saint-Benoît",,
Fesmaderes,Jean,à Agen,imprimeur du roi,,,,,Imprimeur,Agen,,,,
Feugé,Robert,proche le Puits-Certain.,,A l’image Saint-Sébastien|A l’image Saint-Sébastien,"[""Paris, 13 septembre 1644-1671?. A l'image Saint-Sébastien, près le Puits Certain"", 'Imprimeur-libraire. Fils de Robert I Feugé (15..-1642). Gendre de Robert Mansion']",isni:000000043524489X,http://isni.org/isni/000000043524489X,Imprimeur,Paris,,proche le Puits-Certain,A l’image Saint-Sébastien,
Framery,Louis,rue Saint-Jean de Latran.,,,,,,Imprimeur,Paris,rue Saint-Jean-de-Latran,,,
Frémont,Gabriel,à Orléans,libraire et imprimeur,,,,,Imprimeur,Orléans,,,,
Frinbaux,Jean,au mont Sainte-Geneviève.,,,,,,Imprimeur,Paris,,au mont Saint-Geneviève,,
Garcin,Claude,à Marseille,imprimeur du roi,,"[""Imprimeur-libraire ; imprimeur ordinaire de la ville [de Marseille] (1642-1666) ; imprimeur ordinaire du Roi ; imprimeur du clergé ; imprimeur du collège. Nommé imprimeur de la ville le 8 juillet 1642 avec une pension de 100 l. par an. Se qualifie en 1684, au moins, d'ancien imprimeur du Roi, du clergé et de la ville. Son gendre et ancien compagnon Henri Martel lui succède"", ""Lieu d'activité : Marseille. Dates d'activité : 1641-1691. Adresse : Au (ou : À l'enseigne du) Nom de Jésus""]",isni:0000000360348132,http://isni.org/isni/0000000360348132,Imprimeur,Marseille,,,au nom de Jésus,
Gasse,Nicolas,"au mont Saint-Hilaire, dans la cour d’Albret.",,,,isni:0000000495787829,http://isni.org/isni/0000000495787829,Imprimeur,Paris,,"au mont Saint-Hilaire, dans la cour d’Albret",,
Gautier,Filbert,rue Sarrasin,,Aux trois étoiles.,"['Imprimeur','Paris, 17e s. Ruë Sarrazin aux Trois estoilles.']",viaf:107626774,http://viaf.org/viaf/107626774,Imprimeur,Paris,rue Sarrasin,,Aux trois étoiles,
Gautier,Pierre,,,,,viaf:107069912,http://viaf.org/viaf/107069912,Imprimeur,,,,,
Geoffroy,Pierre,"rue de la Prison, près de l’Écu d’Orléans dans la cour des Deux-Anges, à Rouen.",,,"[""Imprimeur-libraire. Fils de David I Geoffroy. Reçu maître en 1631 ou peu avant. De confession protestante. Dit âgé de 67 ans lors de son décès (oct. 1669). - Associé à son frère David II Geoffroy jusqu'à la mort de celui-ci (1665)"", ""Rouen : 1631?-1669. - Rue du Petit-Mont-Lévrier. - Rue de la Prison, près l'Écu d'Orléans, dans la cour (ou : proche l'hôtel) des Deux Anges""]",isni:0000000362541374,http://isni.org/isni/0000000362541374,Imprimeur,Rouen,rue de la Prison,près de l’Écu d’Orléans dans la cour des Deux-Anges,,
Girard,Jacques,rue de la Vieille-Monnaie,, Aux trois maillets.| Aux trois maillets.,"['Imprimeur','Paris, 17e s. ruë de la vielle Monnois [sic], aux Trois maillet [sic]']",viaf:150158125062714931183,http://viaf.org/viaf/150158125062714931183,Imprimeur,Paris,rue de la Vieille-Monnaire, Aux trois maillets,,
Grandin,Pierre,rue de la Calandre,,,,isni:0000000077000210,http://isni.org/isni/0000000077000210,Imprimeur,Paris,rue de la Calandre,,,
Gueffier,François,,,,"['Imprimeur-libraire, fils de François Gueffier (mort en 1623) et frère de Claude (mort en 1630) avec qui il fut reçu libraire à Paris le 17 janvier 1628.']",viaf:55150565624606251190,http://viaf.org/viaf/55150565624606251190,Imprimeur,Paris,,,,
Guérard,Jean,au mont Saint-Hilaire,,,,isni:0000000357267649,http://isni.org/isni/0000000357267649,Imprimeur,Paris,,au mont Saint-Hilaire,,
Guérard,Nicolas,,,,,,,Imprimeur,,,,,
Guignard,Jean,,,,"[""Paris : 1652-1719 ; En la (ou : À l'entrée de la) grand-salle (du Palais) (, du côté de la cour des Aides) ; Rue Saint-Jacques, vis-à-vis (ou : devant) la rue du Plâtre - À l'Image Saint Jean"", 'À partir de 1686, associé à son fils Michel', ""Variante : Jean Guignard le jeune. Libraire ; libraire de Son Altesse Sérénissime le duc d'Orléans. Fils aîné de Jean I Guignard. Âgé de 69 ans lors de l'enquête de nov. 1701 et de 87 ans et demi lors de son décès (avril 1719)""]",isni:0000000081722486,http://isni.org/isni/0000000081722486,Imprimeur,Paris,rue Saint-Jacques,"À l'entrée de la grand-salle du Palais, du côté de la cour des Aides",,
Guillemot,Veuve de Jean,"rue des Marmousets, devant la petite porte de Sainte-Madeleine","imprimeuse (sic) du duc d’Orléans, le 2 décembre 1651.",,"['""Imprimeuse"" ordinaire de Son Altesse Royale [le duc d'Orléans] (1651). Nom de jeune fille : probablement Louise Pinchard, 2e épouse de Jean I Guillemot (avant juin 1634). Nommée ""imprimeuse"" ordinaire du duc d'Orléans par brevet du 2 déc. 1651. Encore en activité en 1656. N'est plus attestée lors de l'enquête de juillet 1657', ""Paris : 1649-1656 ; Rue des Marmousets, proche (ou : devant la petite porte de) (l'église de) la Madeleine (ou : Sainte-Marie-Madeleine) (, ou bien en sa boutique au Palais, en la petite allée devant Saint-Barthélemy, sur la montée de la grand-salle) - À (l'enseigne de) la Camisole royale""]",isni:0000000359773502,http://isni.org/isni/0000000359773502,Imprimeur,Paris,rue des Marmousets,devant la petite porte de Sainte-Madeleine,,
Guillery,Jacques,"rue des Sept-Voies, devant le collège de Fortet, proche de Montaigu.",,,"['Imprimeur-libraire', 'Paris, 1644-1649. Rue des Sept Voyes, devant le collège de Fortet, proche ontaigu']",isni:0000000060006122,http://isni.org/isni/0000000060006122,Imprimeur,Paris,rue des Sept-Voies,"devant le collège de Fortet, proche de Montaigu",,
Guychard,Jean,"rue Saint-Honoré, devant la Croix du Tiroir",,,,,,Imprimeur,Paris,rue Saint-Honoré,devant la Croix du Tiroir,,
Guyot,Guy-Anne,à Dijon,"imprimeur du roi, du prince de Condé et de la ville",,,viaf:232945901,http://viaf.org/viaf/232945901,Imprimeur,Dijon,,,,
Hablon,Hubert,au mont Sainte-Geneviève.,,,,,,Imprimeur,Paris,,au mont Sainte-Geneviève,,
Halles (des),Thibaut,"rue Crève-Cœur, vis-à-vis le pilori.",,Remouleur,,,,Imprimeur,Paris,rue Crève-Coeur,,Remouleur,
Halline (de),Gilles,à la montagne Sainte-Geneviève.,,,,isni:000000007790886X,http://isni.org/isni/000000007790886X,Imprimeur,Paris,,à la montagne Sainte-Geneviève,,
Hameau,Hyérôme,"rue Saint-Jean de Latran, proche le collège des Trois-Évêques.",,,,viaf:7148449524815690520,http://viaf.org/viaf/7148449524815690520,Imprimeur,Paris,rue Sainte-Jean-de-Latran,proche le collège des Trois-Évêques,,
Haran,François,à Renens,imprimeur ordinaire du roi,,,isni:0000000007821099,http://isni.org/isni/0000000007821099,Imprimeur,Rennes,,,,
Hardouin,Louis,rue Saint-Victor,,,['Paris : 1652 ; Rue Saint-Victor'],isni:0000000001761072,http://isni.org/isni/0000000001761072,Imprimeur,Paris,rue saint-Victor,,,
Hardy,Guillaume,proche Saint-Estienne du Mont,,,,,,Imprimeur,Paris,,proche Saint-Etienne-du-Mont,,
La Haye,Jean de,"rue Saint-Jean de Latran, près du Puits-Certain",,A la rose rouge.,"[""Franciscain et théologien, il enseigna la philosophie et la théologie. Prédicateur ordinaire de la reine Anne d'Autriche. Connu pour deux ouvrages : Biblia magna (1643, 5 vol.) et Biblia maxima (1660, 19 vol.)"",""Né à Paris. Prend l'habit des frères mineurs de la réforme de saint Pierre d'Alcantara en Andalousie. Prédicateur d'Anne d'Autriche et de Louis XIII. Lègue sa riche bibliothèque aux Cordeliers""]",isni:0000000066311494,http://isni.org/isni/0000000066311494,Imprimeur,Paris,rue Sainte-Jean-de-Latran,,A la rose rouge.,
La Haye,Rolin de,"rue d’Écosse, près du Puits Certain",,,"['Devise(s) : Si in viridi, quid in arido ?', 'Par sentence du 27 fév. 1671, il lui est défendu de servir de prête-nom à des compagnons tenant boutique', ""Paris : 1634-1668? ; Rue d'Écosse, (au Mont Saint-Hilaire,) près le Puits Certain""]",isni:0000000110423283,http://isni.org/isni/0000000110423283,Imprimeur,Paris,rue d'Ecosse,près du Puits-Certain,,
Hébert,Etienne,au mont Saint-Hilaire,,,"['Imprimeur-libraire', ""Paris, 1633-1657?. Rue des Sept Voyes (1634); rue d'Ecosse, derrière St-Hilaire, à l'image St-Ambroise (1635); Au mont St-Hilaire (1649)""]",isni:0000000077468788,http://isni.org/isni/0000000077468788,Imprimeur,Paris,rue d'Écosse,au mont Saint-Hilaire,,
Hénault,Jean,"au Palais, dans la salle Dauphine",,A l’ange gardien.|A l’ange gardien.,"['Imprimeur-libraire et fondeur de caractères ; (imprimeur-) libraire juré en l'université de Paris (1657?). Fils de l'imprimeur-libraire parisien Mathurin Hénault. Reçu maître le 27 sept. 1635. Publie en 1667 un ""Catalogue des livres imprimez par Jean Henault..."" et des ""Epreuves des poinçons, matrices, lettres et caracteres"" de son imprimerie. Encore en activité en 1673. Veuve attestée dès 1673', ""Travaille fréquemment en association avec son père Mathurin Hénault jusqu'en 1651"", ""Adresse : Paris (1635-1673), Rue Clopin, devant le (collège du) Petit-Navarre ; Rue Saint-Jacques ; (Au Palais,) Dans la salle Dauphine ; Rue Saint-Jacques. - À l'Ange gardien ; À (l'Image) Saint Raphaël ; À l'Ange gardien et à Saint Raphaël ; À l'Ange gardien""]",isni:0000000108989536,http://isni.org/isni/0000000108989536,Imprimeur,Paris,rue Clopin,"au Palais, dans la Salle Dauphine",A l’ange gardien,
Hénault,Mathurin,,,,"['Devise(s) : Medio tutissimus ibis', ""Imprimeur-libraire. - Entré en apprentissage chez l'imprimeur-libraire parisien Pierre II Sevestre en juin 1602. Reçu maître en oct. 1618. Encore en activité en juin 1651. Sépulture le 25 fév. 1654 à Paris, paroisse Saint-Étienne-du-Mont. À partir de 1635, travaille fréquemment en association avec son fils Jean Hénault."", ""Adresse : Paris : 1618-1654. - Rue Clopin, derrière Boncourt [1624]. - Rue Clopin, devant le Petit Navarre (et à sa boutique en la cour du Palais, à côté de la chapelle Saint-Michel, proche la fontaine) [1626-1631]. - Rue Clopin (et au Pont-Neuf, près la Samaritaine) [1637-1639]. - Rue Saint-Jacques (, proche le collège des Jésuites) [1643-1650]. - Enseigne(s) : À l'Ange gardien""]",isni:0000000066473952,http://isni.org/isni/0000000066473952,Imprimeur,Paris,rue Saint-Jacques,proche le collège des Jésuites,À l'Ange gardien,
Herault,Jacques,"dans la cour du Palais, à Rouen.",,,"['Rouen','Vraisemblablement fils du libraire de Rouen Jacques I Herault. Établi vers 1641. Sépulture le 9 sept. 1690 à Rouen ; dit alors âgé de 72 ans environ. Sa veuve lui succède. Père du libraire Eustache Herault']",viaf:172352716,http://viaf.org/viaf/172352716,Imprimeur,Rouen,,dans la cour du Palais,,
Hernault,Antoine,à Saumur,imprimeur du roi,,"[""Lieu d'activité : Saumur. Dates d'activité : 1646-1656. Enseigne : Au Nom de Jésus"",""Imprimeur-libraire ; imprimeur ordinaire du Roi. Fils de René Hernault, de Saumur ; frère puîné et successeur d'André Hernault. À distinguer d'Antoine II Hernault, imprimeur-libraire à Angers""]",isni:0000000363386820,http://isni.org/isni/0000000363386820,Imprimeur,Saumur,,,au nom de Jésus,
Heulin,Pierre,au mont Saint-Hilaire,,,,isni:000000007944814X,http://isni.org/isni/000000007944814X,Imprimeur,Paris,,au mont Saint-Hilaire,,
Hollant,Jacques,à Rouen.,,,,viaf:264814797,http://viaf.org/viaf/264814797,Imprimeur,Rouen,,,,
Hotot,Gilles,à Orléans,imprimeur du roi,,"[""Lieu d'activité : Orléans. Dates d'activité : 1642-1672. Adresse : Rue de l'Escrivinerie. Adresse : Proche Sainte-Croix"",""Imprimeur-libraire ; imprimeur du Roi (1649) et de monseigneur le duc d'Orléans. Fils de Gilles I Hotot. Exerce sans doute dès 1642 en association avec sa mère, veuve de Gilles I Hotot""]",isni:0000000364426759,http://isni.org/isni/0000000364426759,Imprimeur,Orléans,Rue de l'Escrivinerie,proche Sainte-Croix,,
Huart,François,au mont Sainte-Geneviève,,,,viaf:103681924,http://viaf.org/viaf/103681924,Imprimeur,Paris,,au mont Sainte-Geneviève,,
Hulpeau,Claude,"sous les halles de Saint-Jacques l’Hôpital, rue Saint-Denys.",,,"[""Paris : 1606-1649? ; Rue Saint-Jacques ; Rue Saint-Germain, près de la Tour d'argent ; Près du portail de la Monnaie ; Au bout du pont Saint-Michel, à l'entrée du marché Neuf ; Rue de la Calandre, près le Palais ; Sous les halles de Saint-Jacques-l'Hôpital, rue Saint-Denis - À l'Écu de Bourgogne - À l'Image Saint Nicolas"", 'Imprimeur-libraire. Vraisemblablement apparenté au libraire Jean II Hulpeau. Recu libraire en 1606, il commence aussi à imprimer peu après. Veuve attestée en fév. 1650']",isni:0000000364479041,http://isni.org/isni/0000000364479041,Imprimeur,Paris,rue Saint-Denis,sous les halles de Saint-Jacques de l'Hôpital,,
Humbert,Nicolas,au mont Saint-Hilaire,,,,viaf:107059584,http://viaf.org/viaf/107059584,Imprimeur,Paris,,au mont-Hilaire,,
Huot,Claude,"rue Saint-Jacques, proche des Jacobins",,Au pied de biche.,"['Paris : 1646-1650? ; Rue Saint-Jacques (, proche les Jacobins) - Au Pied de biche', 'Reçu maître en janv. 1646']",isni:0000000362335140,http://isni.org/isni/0000000362335140,Imprimeur,Paris,rue Saint-Jacques,proche des Jacobins,Au pied de biche,
Huré,Sébastien,rue Saint-Jacques,,A la visitation.,"[""Libraire ; imprimeur du Roi (1662). Reçu libraire en fév. 1646 ; gendre du libraire Jacques Quesnel, succède à son père Sébastien I Huré en 1651, d'abord en association avec sa belle-mère, veuve de celui-ci ; reçu imprimeur du Roi en août 1662 par la cession d'Antoine Estienne ; se démet en avril 1667 en faveur de Frédéric I Léonard, son associé depuis 1656, à qui il revend également son fonds"",'Adresse : Paris : 1646-1667 ; Rue Saint-Jacques - À la Visitation - Au Coeur bon', 'Devise(s) : Ego dormio, et cor meum vigilat']",isni:0000000110571104,http://isni.org/isni/0000000110571104,Imprimeur,Paris,rue Saint-Jacques,,A la visitation,
Ignoré (l’).,Honoré,,,,,viaf:231679496,http://viaf.org/viaf/231679496,Imprimeur,,,,,
